model,equation,expr,method,numeric,symbolic,nmse,acc01
gpt2-xl,eq_15,5*x + 1,lasr,True,False,0.04,0.6666666666666666
gpt2-xl,eq_16,1*x + -4,direct,False,False,inf,0.0
gpt2-xl,eq_16,1*x + -4,cot,False,False,inf,0.0
gpt2-xl,eq_16,1*x + -4,llmsr,True,True,0.0,1.0
gpt2-xl,eq_16,1*x + -4,lasr,False,False,1.0,0.3333333333333333
gpt2-xl,eq_17,3*x + -3,direct,False,False,inf,0.0
gpt2-xl,eq_17,3*x + -3,cot,False,False,inf,0.0
gpt2-xl,eq_17,3*x + -3,llmsr,True,True,0.0,1.0
gpt2-xl,eq_17,3*x + -3,lasr,False,False,0.2777777777777778,0.3333333333333333
gpt2-xl,eq_18,4*x**3 + 0*x + 2,direct,False,False,inf,0.0
gpt2-xl,eq_18,4*x**3 + 0*x + 2,cot,False,False,inf,0.0
gpt2-xl,eq_18,4*x**3 + 0*x + 2,llmsr,False,False,0.039191988950276244,0.3333333333333333
gpt2-xl,eq_18,4*x**3 + 0*x + 2,lasr,True,False,0.009323204419889503,0.6666666666666666
gpt2-xl,eq_19,3*x**2 + -2*x + 0,direct,False,False,inf,0.0
gpt2-xl,eq_19,3*x**2 + -2*x + 0,cot,False,False,inf,0.0
gpt2-xl,eq_19,3*x**2 + -2*x + 0,llmsr,False,False,0.02912621359223301,0.3333333333333333
gpt2-xl,eq_19,3*x**2 + -2*x + 0,lasr,False,False,0.04854368932038835,0.3333333333333333
gpt2-xl,eq_20,2*x**3 + 0*x + 5,direct,False,False,inf,0.0
gpt2-xl,eq_20,2*x**3 + 0*x + 5,cot,False,False,inf,0.0
gpt2-xl,eq_20,2*x**3 + 0*x + 5,llmsr,True,False,3.884159330016385e-29,1.0
gpt2-xl,eq_20,2*x**3 + 0*x + 5,lasr,False,False,0.35151933701657456,0.0
gpt2-xl,eq_21,8*pi*Ef*epsilon*r**3/(3*sin(2*theta)),direct,False,False,inf,0.0
gpt2-xl,eq_21,8*pi*Ef*epsilon*r**3/(3*sin(2*theta)),cot,False,False,inf,0.0
gpt2-xl,eq_21,8*pi*Ef*epsilon*r**3/(3*sin(2*theta)),llmsr,False,False,inf,1.0
gpt2-xl,eq_21,8*pi*Ef*epsilon*r**3/(3*sin(2*theta)),lasr,False,False,inf,1.0
gpt2-xl,eq_22,4*pi*Ef*epsilon*r**5/(3*z*sqrt(x**2 + y**2)),direct,False,False,inf,0.0
gpt2-xl,eq_22,4*pi*Ef*epsilon*r**5/(3*z*sqrt(x**2 + y**2)),cot,False,False,inf,0.0
gpt2-xl,eq_22,4*pi*Ef*epsilon*r**5/(3*z*sqrt(x**2 + y**2)),llmsr,False,False,inf,0.0
gpt2-xl,eq_22,4*pi*Ef*epsilon*r**5/(3*z*sqrt(x**2 + y**2)),lasr,False,False,inf,1.0
gpt2-xl,eq_23,M*alpha/(c**2*epsilon) + T*f*kb/mom,direct,False,False,inf,0.0
gpt2-xl,eq_23,M*alpha/(c**2*epsilon) + T*f*kb/mom,cot,False,False,inf,0.0
gpt2-xl,eq_23,M*alpha/(c**2*epsilon) + T*f*kb/mom,llmsr,False,False,inf,0.0
gpt2-xl,eq_23,M*alpha/(c**2*epsilon) + T*f*kb/mom,lasr,False,False,inf,1.0
gpt2-xl,eq_24,-E_n/(Ef*cos(theta)),direct,False,False,inf,0.0
gpt2-xl,eq_24,-E_n/(Ef*cos(theta)),cot,False,False,inf,0.0
gpt2-xl,eq_24,-E_n/(Ef*cos(theta)),llmsr,False,False,inf,0.0
gpt2-xl,eq_24,-E_n/(Ef*cos(theta)),lasr,False,False,inf,1.0
gpt2-xl,eq_25,-c*sqrt(1 - c**4*m**2/E_n**2),direct,False,False,inf,0.0
gpt2-xl,eq_25,-c*sqrt(1 - c**4*m**2/E_n**2),cot,False,False,inf,0.0
gpt2-xl,eq_25,-c*sqrt(1 - c**4*m**2/E_n**2),llmsr,False,False,inf,0.0
gpt2-xl,eq_25,-c*sqrt(1 - c**4*m**2/E_n**2),lasr,False,False,inf,1.0
